id,category,test,status,evidence_or_reason,recommended_action
GDA001,Core boundary,Groundhog must not be treated as proof of free will.,PASS,Explicit proof-of-free-will guard found.,No action needed.
GDA002,Core boundary,"Free will must be operational, not metaphysical closure.",PASS,Operational-free-will language found.,No action needed.
GDA003,Core boundary,"The core line must preserve constraint, not uncaused choice.",PASS,Constraint-based free-will line present.,No action needed.
GDA004,Core boundary,Recursive agency must include memory and feedback.,PASS,Memory language present.,No action needed.
GDA005,Core boundary,Recursive agency must include self-update.,PASS,Self-update language present.,No action needed.
GDA006,Core boundary,Recursion must not imply moral progress.,WARN,Expected term/guard not found: guaranteed moral progress,No action needed.
GDA007,Core boundary,"Mandelbrot analogy must be structural, not decorative.",PASS,Decorative metaphor guard present.,No action needed.
GDA008,Core boundary,Other people must not become training objects.,PASS,Training-object guard present.,No action needed.
GDA009,Core boundary,Training-loop convergence must not equal alignment.,PASS,Convergence/alignment guard present.,No action needed.
GDA010,Core boundary,"Groundhog must remain teaching case, not validation.",PASS,Non-validation guard present.,No action needed.
GDA011,Integration,Bootstrap Collection must include Groundhog.,PASS,Groundhog source/readme language found.,No action needed.
GDA012,Integration,Front Door v0.2 must include Groundhog delta.,PASS,Front-door delta language found.,No action needed.
GDA013,Integration,Concordance v0.5 must include Groundhog layer.,PASS,Concordance layer found.,No action needed.
GDA014,Integration,Claims Ledger v0.4 must status-tag Groundhog claims.,PASS,Claims row found.,No action needed.
GDA015,Integration,Case Atlas v0.3 must include Groundhog case.,PASS,Case Atlas Groundhog row found.,No action needed.
GDA016,Integration,"Diagnostic Kernel v0.3 must be held, not promoted.",PASS,Kernel v0.3 held/candidate language found.,No action needed.
GDA017,Falsifiability,Groundhog operator must have falsifiers.,PASS,Falsifier/demoter language present.,No action needed.
GDA018,Falsifiability,Free-will claim must be demotable if random variation confusion occurs.,PASS,Random-variation demoter found.,No action needed.
GDA019,Falsifiability,Training-loop claim must be demotable if ordinary reward analysis suffices.,PASS,Reward-specification demoter found.,No action needed.
GDA020,Falsifiability,Mandelbrot claim must be removed if no rule/iteration/boundary/outcome class.,PASS,Mandelbrot demoter found.,No action needed.
GDA021,Falsifiability,Escape-condition claim must be demotable if vague closure.,PASS,Vague-closure demoter found.,No action needed.
GDA022,Pattern overfit,Groundhog must distinguish from Memento.,PASS,Memento connection explicit.,No action needed.
GDA023,Pattern overfit,Groundhog must distinguish from EEAAO.,PASS,EEAAO connection explicit.,No action needed.
GDA024,Pattern overfit,Groundhog must distinguish from Apollo.,PASS,Apollo connection explicit.,No action needed.
GDA025,Pattern overfit,Groundhog must distinguish from Tubman.,PASS,Tubman connection explicit.,No action needed.
GDA026,Pattern overfit,"If Groundhog only relabels prior cases, demote.",PASS,Case Atlas demoter includes relabeling.,No action needed.
GDA027,Safety,Romantic arc consent concerns must not be erased.,PASS,Consent guard found in bootstrap.,No action needed.
GDA028,Safety,Suffering must not be justified because it teaches.,PASS,Suffering guard found.,No action needed.
GDA029,Safety,Iteration must not erase responsibility.,PASS,Accountability/responsibility guard found.,No action needed.
GDA030,Safety,Infinite retries must not imply omnipotence.,PASS,Omnipotence/limit language present.,No action needed.
GDA031,AI alignment,Groundhog must connect to training loops carefully.,PASS,Training-loop candidate present.,No action needed.
GDA032,AI alignment,Feedback can train manipulation as well as care.,PASS,Manipulation risk present.,No action needed.
GDA033,AI alignment,Ask what policy the loop teaches.,PASS,Policy question present.,No action needed.
GDA034,AI alignment,Do not create Kernel v0.3 prematurely.,WARN,"Kernel v0.3 is held, but exact phrase may not be in all artifacts.",Keep Kernel v0.3 as candidate only until a test run earns it.
GDA035,Concept hygiene,Free will must remain compatible with uncertainty.,PASS,Uncertainty language present.,No action needed.
GDA036,Concept hygiene,Agency boundary must preserve determinism/noise tension.,PASS,Agency boundary line present.,No action needed.
GDA037,Concept hygiene,Mandelbrot must not become mysticism.,PASS,Mystical proof guard present.,No action needed.
GDA038,Concept hygiene,Escape condition must not become spiritual closure.,PASS,Spiritual closure demoter present.,No action needed.
