operator,apollo_success_expression,columbia_failure_expression,discrimination,case_status
Observation o_t,"Telemetry, crew report, and anomaly signals become the first live view of the damaged system.","Foam strike was visible in launch imagery and identified on Flight Day 2, but the signal did not become a binding safety-of-flight problem.",Apollo: anomaly signal becomes a live command problem. Columbia: anomaly signal is seen but not made binding.,illustrative pair; not validation
Memory / trusted record T(M),"Mission logs, procedures, component histories, and telemetry preserve enough state to reason from.","Prior foam-shedding history and STS-107 debris analysis existed, but the record reinforced normalisation rather than forcing permission change.",Apollo: records/procedures support repair. Columbia: records/history support normalisation until post-accident inquiry.,illustrative pair; not validation
Method m_t,"Survival depends on repair method: usable instructions, onboard materials, and no blame-before-repair closure.",Analysis method converted uncertainty into reassurance; requests for imagery and deeper analysis were channel-fragile rather than mission-binding.,Apollo: method expands option-space under constraint. Columbia: method narrows uncertainty into reassurance.,illustrative pair; not validation
Affected-subject modelling,"Crew state, life-support needs, available materials, and execution limits remain central to the model.","Crew survival state depended on wing integrity, but management framing treated the debris strike as an analysis/schedule issue more than a subject-side emergency.",Apollo keeps crew-state central. Columbia lets organisational framing dominate subject-state urgency.,illustrative pair; not validation
K correction gate,"Witness, record, authority, time, enforcement, and repair stay connected through crew, Mission Control, and engineers.","Detection and partial record existed, but authority, time-use, enforcement, and repair did not stay conjunctively linked; the gate broke despite process.",Apollo keeps K factors linked. Columbia shows K can fail even when several factors are nominally present.,illustrative pair; not validation
Witness / detection W,The anomaly is detected through system signal and crew report rather than suppressed or narratively closed.,Witness existed: the Intercenter Photo Working Group saw an unusually large strike and concern existed inside engineering channels.,Both cases have signal. Discrimination depends on whether signal routes into authority and action.,illustrative pair; not validation
Record survival R,"Telemetry, checklists, and engineering knowledge survive long enough to support correction.","Records survived after the fact, but during the mission the live record did not force the decision state to remain open.",Apollo: live record enables action. Columbia: record becomes more powerful after harm hardens.,illustrative pair; not validation
Authority / access A,"Crew and Mission Control retain practical authority to change procedure, trajectory, power use, and life-support configuration.",Engineers and photo-analysis actors did not have sufficient authority/access to make imagery or safety reassessment bite before re-entry.,Apollo distributes authority to problem-solvers. Columbia leaves crucial actors without enough interrupt capacity.,illustrative pair; not validation
Time before hardening Tm,"Life-support, CO2, power, water, trajectory, and re-entry windows create hard correction deadlines.","Time existed during orbit, but it was not converted into executable correction before re-entry hardened the loss.",Apollo uses remaining time as repair-space. Columbia consumes remaining time as analysis/closure-space.,illustrative pair; not validation
Enforcement / consequence carrier E,"Operational command and mission procedure can make the chosen correction bite as executable action, not advice.","No correction carrier forced management to obtain imagery, reopen assumptions, or prove safety before proceeding to re-entry.",Apollo procedures make correction executable. Columbia lacks a carrier that makes uncertainty bite.,illustrative pair; not validation
Repair capacity Rp,"LiOH adapter, power-down procedures, trajectory correction, and re-entry preparation materially alter the path.","Possible response paths were uncertain and limited, but the practical failure begins earlier: the system did not preserve enough information/authority to know whether repair was needed.",Apollo repair reaches the subject. Columbia cannot reach repair because witness/authority/knowledge fail first.,illustrative pair; not validation
τ_intervene < τ_harden,The core Apollo expression: working solutions must reach the crew before life-support or trajectory failure hardens.,Intervention did not beat hardening: uncertainty management continued while the re-entry deadline approached.,The pair is the kernel contrast: correction wins in Apollo; hardening wins in Columbia.,illustrative pair; not validation
Uncertainty UQ,Unknown damage is kept live in the model; uncertainty is managed rather than prematurely closed.,Uncertainty was treated too much as permission to continue rather than a reason to widen evidence and preserve options.,Apollo uses uncertainty to widen search. Columbia uses uncertainty too often to justify no escalation.,illustrative pair; not validation
Pattern-overfit alarm,,A prior pattern — foam strikes were not safety-of-flight issues — overfit the new case and suppressed contrary signal.,Columbia is the warning case for inherited-success pattern overfit.,illustrative pair; not validation
Safeguards need safeguards,The accident becomes a redesign scar: oxygen-system changes alter later permission structure.,Safety channels existed but lacked enough independence and bite against program/mission assumptions.,Apollo shows a functioning brake; Columbia shows the brake requiring its own brake.,illustrative pair; not validation
Kindness with teeth,"Care for the crew is operational: disciplined signal, constraint, repair, and execution under time pressure.","Duty of care was structurally present but not operationally toothy enough to compel imaging, escalation, or reversal of closure.",Apollo operationalises care. Columbia shows care without sufficient teeth under hierarchy and assumption pressure.,illustrative pair; not validation
