claim_id,claim,status,source_or_comparator,what_ME_TRACE_adds_if_anything,falsifier_or_demoter,must_not_claim,ME_TRACE_remainder,notes
C01,A compact model or glyph can organise attention without proving the represented structure.,KNOWN,"General modelling / scientific-method boundary; Concordance v0.3: model != measurement, compression != proof.",Keeps the boundary as an explicit operator in every artifact.,Any artifact uses elegance/compression as evidence of truth.,Not claiming notation validates ME/TRACE.,,
C02,A correction path can be formally present but functionally late.,PATTERNED,"Administrative justice, due process, system-safety postmortems; Diagnostic Kernel v0.1.",Centers timing rather than only formal availability.,Cases where formal availability reliably prevents hardening without timing constraints.,Not claiming every late process is malicious or illegal.,,
C03,The minimum useful correction question is: can correction reach the affected subject before harm hardens?,PATTERNED,Diagnostic Kernel v0.1; Apollo/Columbia concordance layer.,"Compresses timing, authority, and repair into a reusable check.",If the question fails to discriminate live cases better than ordinary prose.,Not claiming this is a complete ethics theory.,,
C04,"Correction is conjunctive: witness, record, authority, time, enforcement, and repair can fail if any essential carrier is absent.",PATTERNED,K-gate / reliability engineering / due process / cybernetics; Diagnostic Kernel v0.1.,Makes the AND-gate visible and portable.,If real cases show missing factors do not materially affect correction capacity.,Not claiming the exact six factors are final or exhaustive.,,
C05,Unknowns must not be silently converted into passes.,KNOWN,"Risk governance, audit practice, safety engineering; Diagnostic Kernel boundary.","Treats unknown as a correction state, not a prose caveat.",If treating unknown as pass improves safety without hidden harm.,Not claiming every unknown requires shutdown.,,
C06,A pass through the Diagnostic Kernel is not a safety certification.,KNOWN,Kernel v0.1 boundary.,Prevents diagnostic tools becoming laundering devices.,If artifacts begin using kernel pass as proof of safety/alignment.,Not claiming the kernel replaces expert review.,,
C07,Correction-fragility increases when the actor causing or controlling harm also controls the correction trigger.,PATTERNED,"Institutional economics, administrative law, capture theory; P_trigger field.",Names correction-dependence as a practical proxy for power concentration.,If actor-controlled systems routinely correct faster than independent systems under comparable stakes.,Not claiming actor-control always implies bad faith.,,
C08,High hazard immediacy raises the importance of live correction because hardening arrives faster.,KNOWN/PATTERNED,"Safety engineering, product safety, emergency response; H_immediacy field.",Connects hazard speed to correction-window analysis.,If slow correction routinely suffices for immediate-catastrophic hazards without compensating safeguards.,Not claiming all high-immediacy systems are unacceptable.,,
C09,The narrow empirical probe is H_immediacy × P_trigger -> log(tau_correct).,HYPOTHESIS,NHTSA feasibility thread; Claude/Framework relay.,Candidate distinctive clocked interaction.,"If interaction is null/negative with adequate independent first-signal data, or P collapses.",Not claiming validation; not even preregistered yet.,,
C10,E_scale / units affected is a covariate only in the minimal NHTSA probe.,HYPOTHESIS-BOUNDARY,NHTSA methods triage.,Prevents scale from smuggling in hardening speed or trivial magnitude.,"If later domain shows scale is the actual interaction, move to secondary test.",Not claiming scale is unimportant.,,
C11,NHTSA is amber until independent first-signal dates are shown feasible.,HYPOTHESIS-BOUNDARY,NHTSA feasibility notes; Part 573 / ODI issue.,Makes measurement independence the gate before modelling.,"If 10-case skim cannot find independent signals or P spread, demote NHTSA.",Not claiming NHTSA data are unusable generally.,,
C12,Manufacturer-authored chronologies can create differential measurement error in tau_correct if they compress knew-to-acted gaps.,HYPOTHESIS/RISK,Claude methods triage; Part 573 authoring concern.,Identifies a specific fatal flaw to check before scaling.,If independent ODI signals align with manufacturer chronologies across hard cells.,Not claiming all manufacturers distort chronologies.,,
C13,The 3000-year civilisation game is exploration only.,EXPLORATION-DEMOTED,Claude/Framework relay; memory update.,"Kept as imagination/scaffold, not evidence.","If used as validation or causal proof, demote output.",Not claiming the broad stack predicts civilisations.,,
C14,"The broad E/A/M/K/H/D/R stack is conceptual scaffolding, not a validated model.",EXPLORATION-DEMOTED,Claude/Framework relay.,Helps generate hypotheses but does not prove them.,If it becomes a claim engine without external checks.,Not claiming these variables are useless.,,
C15,The Concordance is strongest when it maps ME/TRACE operators to established counterparts and isolates any remainder.,PATTERNED,Concordance v0.3.,Makes unification inspectable and overclaim visible.,"If mappings are inaccurate, forced, or omit obvious prior art.",Not claiming ME invented mapped concepts.,,
C16,"The ME/TRACE remainder is currently narrow: clocked, conjunctive correction before hardening under power/trigger dependence.",HYPOTHESIS-READY,Concordance v0.3; Kernel v0.1; NHTSA probe.,Keeps novelty claim small.,If ordinary frameworks explain all useful work with no remainder.,Not claiming a complete new field.,,
C17,"Apollo 13 is a positive illustration of correction beating hardening, not proof of TRACE.",ILLUSTRATION,Bootstrap Collection v0.2.1; Concordance v0.3 Apollo layer.,Shows success case where K-factors stay coupled.,If used alone as validation or selected-example proof.,Not claiming NASA was structurally safe before the accident.,,
C18,Columbia is a paired failure illustration: signal/process existed but correction did not bite before hardening.,ILLUSTRATION,Concordance v0.3 Columbia layer; CAIB anchor in artifact.,Discriminates success vs failure more strongly than a single positive case.,If it becomes a claim that rescue was simple/certain.,Not claiming the pair validates TRACE empirically.,,
C19,The Apollo/Columbia pair is useful only because it maps operators to different outcomes.,PATTERNED,Concordance v0.3 case-pair layer.,Turns stories into operator discrimination.,If pair analysis collapses into hindsight narration with no discriminating rows.,Not claiming hand-picked cases establish generality.,,
