operator_id,name,family,compression,definition,source_case,connected_cases,activation_condition,deactivation_condition,comparator,distinct_remainder,falsifier,demoter,status,kernel_status,must_not_claim
OP-001,Correction Before Hardening,Timing,live_correction := tau_correct < tau_harden,Correction must arrive before harm hardens into irreversible or functionally irreversible loss.,Apollo 13,"Columbia, Robodebt, Horizon, Public One-Sheet",Use when harm has a clock and correction has a delay.,Do not use when no action window can be defined without false precision.,time-critical intervention; golden hour; incident response,Makes correction timing a central ethical diagnostic rather than an afterthought.,"If clocks cannot be defined prospectively, demote to interpretive framing.","If it cannot discriminate before outcome knowledge, demote in that domain.",core_operator,in Kernel,Do not claim every delay is harm.
OP-002,K-Gate,Correction,K := Witness * Record * Authority * Time * Enforcement * Repair,Correction capacity is conjunctive; nominal presence is not enough if gates are not functionally linked.,Apollo 13 / Columbia,"Tubman, Frankenstein, Diagnostic Kernel",Use when assessing whether a system can actually correct a harm path.,Do not use as a decorative checklist after outcomes are already known.,STAMP; Swiss Cheese; HRO; incident response,Forces nominal-vs-functional correction distinction.,"If it only says 'failure failed', demote as tautology.","If existing frameworks discriminate better with less confusion, mark as translation layer.",core_operator,in Kernel,Do not turn K into a numeric score without measurement rules.
OP-003,Safeguard Corrigibility,Correction,safeguard_real := bites_in_time + remains_corrigible,A safeguard must not only exist; it must act in time and remain correctable itself.,Rosetta / Kimi review remainder,"Apollo 13, Columbia, AI governance","Use for safety systems, review channels, approvals, audits.",Do not use to imply certification is impossible in every bounded context.,safety assurance; governance audits; incident learning,Adds recursive requirement that safeguards themselves remain answerable.,"If it blocks all stabilizing safeguards, revise.","If it becomes anti-certification slogan, demote.",patterned_operator,not operational branch,Do not claim all certification is meaningless.
OP-004,Harm Clock,Timing,harm_clock := time_until_loss_hardens,"The interval before harm becomes irreversible, costly, or structurally locked in.",Temporal Power / WRATT,"Robodebt, Horizon, Apollo, benefits protocols",Use where delay changes available repair.,Do not use without evidence of hardening mechanism.,limitation periods; SLA; golden hour,Links time to repairability and action-space.,"If hardening cannot be evidenced, mark UNKNOWN.","If used to dramatize all time pressure, demote.",patterned_operator,supporting Kernel concept,Do not treat speed itself as good or bad.
OP-005,Memory Bridge,Memory,memory_bridge := record + continuity + contestability,Agency and identity require trustworthy memory across time.,Memento,"Groundhog Day, Claims Ledger, Rosetta",Use where memory/records govern future action or identity.,Do not use to claim all memory is reliable or unified.,autobiographical memory; audit trail; evidence preservation,Connects personal memory and institutional record.,"If it cannot distinguish record from interpretation, revise.","If it becomes poetic rather than operational, demote.",patterned_operator,not Kernel,Do not equate record with truth automatically.
OP-006,Record Trust,Memory,record_trust := preserved + contestable + non-captured,"A record matters only if it is preserved, contestable, and not controlled by the harmful actor.",Memento / Robodebt / Frankenstein,"Tubman, Columbia, benefits protocols","Use where official or personal records drive burden, blame, or repair.",Do not use where no record-dependent decision exists.,auditability; evidence law; provenance,Makes capture of record a harm multiplier.,"If no contest route is relevant, narrow claim.","If it duplicates ordinary recordkeeping fully, demote to translation.",patterned_operator,supporting Kernel concept,Do not assume digital record = trustworthy record.
OP-007,Method Floor,Method,method_floor := outcome_success_does_not_clean_method,Certain methods remain inadmissible even under pressure or apparent success.,Unthinkable,"AI alignment, emergency governance, Tubman secrecy guard",Use when harmful methods are justified by claimed necessity.,Do not use as absolutism without collision analysis.,deontology; human rights; due process,"Forces method into diagnostic, not just outcome.","If it cannot handle real collisions, mark boundary-open.","If it blocks proportionate emergency action, revise.",core_guard,not Kernel branch,Do not claim method questions are already solved.
OP-008,No-Clean-Branch,Method,no_clean_branch := all_options_dirty != method_erasure,"A crisis may contain no clean option, but that does not erase the ledger of harm.",Unthinkable,"Campfire Charter, bounded force, emergency governance",Use in emergency/collision cases.,Do not use to paralyze all action.,dirty hands; emergency ethics,Keeps harm logged even when action is necessary.,"If it cannot distinguish harm logging from action refusal, revise.","If weaponized as purity politics, demote.",known_guard,not Kernel branch,Do not erase harm because the alternative was worse.
OP-009,Method Laundering,Method,method_laundering := outcome_or_process_used_to_clean_harmful_method,"A system hides or cleans a harmful method behind success, legality, procedure, or urgency.",Unthinkable / PCFU,"Robodebt, Columbia, Frankenstein",Use when procedure or outcome is used to avoid moral accounting.,Do not use when the method is already transparent and bounded.,legitimacy theory; procedural justice,Names the laundering move directly.,"If every procedural disagreement becomes laundering, demote.","If no hidden method exists, mark not-applicable.",patterned_operator,supporting diagnostic,Do not treat procedure itself as suspect.
OP-010,Predatory System Boundary,Exit,predatory_system := official_route_is_harm_carrier,A system becomes predatory for TRACE when official correction routes expose subjects to capture or harm.,Harriet Tubman,"Whistleblowing, sanctuary, coercive institutions",Use when internal correction is structurally dangerous or unavailable.,Do not use as general anti-institutional label.,civil disobedience; sanctuary; whistleblower theory,Typed branch for when internal review is wrong route.,"If activation conditions are vague, freeze branch.","If used to bypass ordinary accountability, demote.",candidate_branch,not Kernel v0.3,Do not call every flawed institution predatory.
OP-011,Exit Route,Exit,exit_route := protected_path_out_before_capture,"When internal correction is dangerous, repair may require route, protection, timing, and trust.",Harriet Tubman,"Domestic violence escape, whistleblowing, refugee routes",Use when staying in official channel increases capture/harm.,Do not use to justify secrecy without bounds.,sanctuary practice; safety planning,Adds correction-by-exit alongside correction-by-repair.,"If it cannot distinguish exit from evasion, revise.","If it creates opacity permission, freeze.",patterned_operator,candidate branch,Do not turn exit into immunity from review.
OP-012,Protective Secrecy,Exit,protective_secrecy := bounded_opacity_to_preserve_subject_escape,Secrecy can be protective when transparency would expose vulnerable subjects to capture.,Harriet Tubman,"whistleblower protection, witness protection",Use where disclosure would directly increase subject harm.,Do not use for institutional self-protection.,confidentiality; sanctuary; witness protection,Distinguishes protective secrecy from corrupt opacity.,"If secrecy protects power rather than subject, fail.","If bounds cannot be specified, freeze.",boundary_claim,not Kernel,Protective secrecy is not opacity permission.
OP-013,Care With Teeth,Care,care_with_teeth := option_space_restoration + enforceable_constraint,Care is not sentiment; it must preserve or restore real options under constraint.,Samwise / Tubman,"benefits protocols, crisis response, child protection",Use where care claims must be operationalized.,Do not use to justify domination through care language.,care ethics; capability approach,Turns care into action/constraint test.,"If care steals agency, revise.","If it becomes sentiment language, demote.",patterned_operator,not Kernel,Care must not become control.
OP-014,Load-Bearing Care,Care,load_bearing_care := carry_burden_without_taking_corrupting_power,Care can carry burdens while refusing to seize corrupting control.,Samwise,"leadership, parenting, support work",Use where support must not override agency.,Do not use where immediate protective control is actually necessary.,care ethics; servant leadership,Distinguishes support from possession/control.,"If support leaves subject exposed, revise.","If it romanticizes burden, demote.",patterned_operator,not Kernel,Do not glorify suffering.
OP-015,Option-Space Restoration,Care,repair := restore_real_future_options,Repair matters when it reopens future action-space for the affected subject.,Children of Men / Samwise / PCFU,"benefits, redress, Apollo",Use where repair quality matters.,Do not use as vague hope language.,capabilities; restorative justice,"Defines repair by future-space, not apology alone.","If no subject future-space is mapped, mark incomplete.","If any benefit is called repair, demote.",core_operator,supporting Kernel concept,Do not count symbolic repair as enough.
OP-016,Recursive Agency,Agency,recursive_agency := branch_selection + memory + feedback + self_update under_constraint,Agency appears operationally when repeated selection under constraint updates the future selector.,Groundhog Day,"AI training loops, habit formation, learning theory",Use for loops where choices and feedback change policy/self.,Do not use as proof of metaphysical free will.,learning theory; compatibilism; dynamical systems,Frames free will operationally without metaphysical closure.,"If it adds nothing beyond learning theory, demote.","If it becomes proof-of-free-will rhetoric, freeze.",hypothesis_operator,candidate only,Groundhog Day is not proof of free will.
OP-017,Escape Condition,Agency,escape_condition := what_counts_as_release_from_loop,A loop's exit condition reveals what the system rewards as success.,Groundhog Day,"training, therapy, games, governance metrics",Use where a repeated process optimizes toward an exit/goal.,Do not use where no loop/goal exists.,reinforcement learning; control objectives,Asks what the loop teaches the chooser/system to become.,"If exit language becomes vague spiritual closure, revise.","If no measurable exit condition exists, demote.",hypothesis_operator,candidate only,Do not assume every system has clean escape.
OP-018,Mandelbrot Boundary,Agency/Pattern,same_rule + iteration + boundary_condition + small_delta -> path,"Complex ethical patterns may emerge at boundaries of repeated rules, memory, and small deltas.",Groundhog / math-lattice work,"recursive agency, systems, fractals",Use as structural analogy only when rule/iteration/boundary are explicit.,Do not use as decorative mysticism.,complex systems; nonlinear dynamics,Provides disciplined recursion analogy.,"If structural mapping absent, remove analogy.","If it becomes mystical proof, demote.",boundary_claim,not Kernel,Mandelbrot is not proof.
OP-019,Creator Responsibility,Creation,creator_responsibility := created_power -> continuing_answerability,Creating or activating consequential power creates duties beyond technical success.,Frankenstein,"AI deployment, synthetic biology, engineering ethics",Use when actors create/activate consequential systems or beings.,Do not use as total control forever.,engineering ethics; product liability; parenthood ethics,Adds repair debt and answerability over time.,"If duties cannot be specified, keep candidate only.","If it becomes vague moralism, freeze.",candidate_branch,not Kernel v0.3,Frankenstein is not proof of AI personhood.
OP-020,Created Subject Boundary,Subject,created_origin != property_status,"Being created does not by itself erase a subject-claim if stakes, pain, memory, relation, agency, and future-space are present.",Frankenstein,"AI rights uncertainty, bioethics, disability ethics",Use where origin/appearance is used to erase possible standing.,Do not use to settle personhood without evidence.,moral standing; recognition theory,Blocks creator convenience as status test.,"If used as AI personhood proof, demote.","If status criteria remain vague, hold as boundary claim.",boundary_claim,not Kernel,Created origin is not property status.
OP-021,Recognition Failure,Subject,recognition_failure := appearance_or_origin_used_to_cancel_subject_claim,A subject-like claim is denied before its stakes are understood.,Frankenstein,"Tubman, dehumanization cases, disability ethics",Use where misrecognition collapses protection or future-space.,Do not use for mere disagreement or dislike.,recognition theory; anti-dehumanization,Connects subject status to protected circle failure.,"If subject indicators absent, mark not-applicable.","If applied too broadly, demote.",patterned_operator,not Kernel,Do not equate all rejection with recognition failure.
OP-022,Repair Debt,Correction/Creation,repair_debt := causal_initiation + avoidable_harm_path + unmet_repair_duty,"Responsibility can persist where creation, control, knowledge, or benefit creates an unmet repair duty.",Frankenstein / Responsibility work,"Robodebt, AI deployment, product harms",Use when actors remain answerable despite avoidance or delegation.,Do not use as infinite guilt forever.,tort causation; duty of care; responsibility theory,Names persistent answerability without total blame theory.,"If no causal/role/control link exists, fail.","If becomes guilt-by-association, demote.",patterned_operator,candidate only,Repair debt is not total blame.
